split,evaluation_protocol,eval_kind,seed,rep,level,axis,predictor,line,arm,kind,n,rmse_S,rmst_mae,rmst_bias
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,dynasurv,all,POLYCT alone,counterfactual,2977,0.1121943619511945,1.3796814607343242,0.0916887126034353
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,ET alone,factual,356,0.0,7.740158072647506e-06,-7.617038277055395e-06
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,ET+ANTI-CDK wo CT,factual,1252,0.0,7.200425653492467e-06,-7.135283641589948e-06
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,MONOCT std alone,factual,181,0.0,8.608184988857447e-06,-8.608184988857447e-06
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,POLYCT alone,factual,188,0.0,8.070153562451855e-06,-8.070153562451855e-06
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,ET alone,counterfactual,1621,0.0,7.785590176561873e-06,-7.675127914021121e-06
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,ET+ANTI-CDK wo CT,counterfactual,725,0.0,7.101040775581694e-06,-7.0563190904679155e-06
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,MONOCT std alone,counterfactual,1796,0.0,8.629603156937202e-06,-8.623991120111353e-06
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,1,POLYCT alone,counterfactual,1789,0.0,7.907100047417898e-06,-7.80709702302995e-06
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,ET alone,factual,127,0.0,1.3215161555944403e-05,-1.1968288593689624e-05
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,ET+ANTI-CDK wo CT,factual,338,0.0,1.2259244435230768e-05,-1.1195291825600178e-05
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,MONOCT std alone,factual,269,0.0,1.4155750729820729e-05,-1.4108145470731989e-05
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,POLYCT alone,factual,106,0.0,1.353762860752719e-05,-1.317021554904243e-05
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,ET alone,counterfactual,713,0.0,1.2638477550452651e-05,-1.189938280457497e-05
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,ET+ANTI-CDK wo CT,counterfactual,502,0.0,1.2159557202272224e-05,-1.138212039542583e-05
legacy_reused_holdout,1,bestCI,1,1,0.0,gamma,oracle,2,MONOCT std alone,counterfactual,571,0.0,1.4208830757822028e-05,-1.395383561141038e-05
